LAD17NM,cars_percap_2018,LAD11NM,RUC11,
Adur,0.488,Adur,Urban with City and Town,TRUE
Allerdale,0.52,Allerdale,Mainly Rural (rural including hub towns >=80%) ,TRUE
Amber Valley,0.54,Amber Valley,Urban with Minor Conurbation,TRUE
Arun,0.547,Arun,Urban with City and Town,TRUE
Ashfield,0.476,Ashfield,Urban with City and Town,TRUE
Ashford,0.551,Ashford,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Aylesbury Vale,0.56,Aylesbury Vale,Largely Rural (rural including hub towns 50-79%) ,TRUE
Babergh,0.587,Babergh,Mainly Rural (rural including hub towns >=80%) ,TRUE
Barking and Dagenham,0.304,Barking and Dagenham,Urban with Major Conurbation,TRUE
Barnet,0.37,Barnet,Urban with Major Conurbation,TRUE
Barnsley,0.463,Barnsley,Urban with Minor Conurbation,TRUE
Barrow-in-Furness,0.442,Barrow-in-Furness,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Basildon,0.498,Basildon,Urban with City and Town,TRUE
Basingstoke and Deane,0.565,Basingstoke and Deane,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bassetlaw,0.52,Bassetlaw,Largely Rural (rural including hub towns 50-79%) ,TRUE
Bath and North East Somerset,0.501,Bath and North East Somerset,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bedford,0.601,Bedford,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bexley,0.433,Bexley,Urban with Major Conurbation,TRUE
Birmingham,0.616,Birmingham,Urban with Major Conurbation,TRUE
Blaby,0.56,Blaby,Urban with City and Town,TRUE
Blackburn with Darwen,0.404,Blackburn with Darwen,Urban with City and Town,TRUE
Blackpool,0.405,Blackpool,Urban with City and Town,TRUE
Bolsover,0.511,Bolsover,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bolton,0.436,Bolton,Urban with Major Conurbation,TRUE
Boston,0.517,Boston,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bournemouth,0.459,Bournemouth,Urban with City and Town,TRUE
Bracknell Forest,0.702,Bracknell Forest,Urban with City and Town,TRUE
Bradford,0.388,Bradford,Urban with Major Conurbation,TRUE
Braintree,0.555,Braintree,Largely Rural (rural including hub towns 50-79%) ,TRUE
Breckland,0.57,Breckland,Mainly Rural (rural including hub towns >=80%) ,TRUE
Brent,0.287,Brent,Urban with Major Conurbation,TRUE
Brentwood,0.679,Brentwood,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Brighton and Hove,0.333,Brighton and Hove,Urban with City and Town,TRUE
"Bristol, City of",0.408,"Bristol, City of",Urban with City and Town,TRUE
Broadland,0.591,Broadland,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bromley,0.457,Bromley,Urban with Major Conurbation,TRUE
Bromsgrove,0.599,Bromsgrove,Urban with City and Town,TRUE
Broxbourne,0.532,Broxbourne,Urban with Major Conurbation,TRUE
Broxtowe,0.481,Broxtowe,Urban with Minor Conurbation,TRUE
Burnley,0.423,Burnley,Urban with City and Town,TRUE
Bury,0.571,Bury,Urban with Major Conurbation,TRUE
Calderdale,0.437,Calderdale,Urban with Major Conurbation,TRUE
Cambridge,0.352,Cambridge,Urban with City and Town,TRUE
Camden,0.165,Camden,Urban with Major Conurbation,TRUE
Cannock Chase,0.52,Cannock Chase,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Canterbury,0.452,Canterbury,Urban with City and Town,TRUE
Carlisle,0.481,Carlisle,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Castle Point,0.545,Castle Point,Urban with City and Town,TRUE
Central Bedfordshire,0.566,Central Bedfordshire,Largely Rural (rural including hub towns 50-79%) ,TRUE
Charnwood,0.502,Charnwood,Urban with City and Town,TRUE
Chelmsford,0.543,Chelmsford,Urban with City and Town,TRUE
Cheltenham,0.494,Cheltenham,Urban with City and Town,TRUE
Cherwell,0.717,Cherwell,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Cheshire East,0.569,Cheshire East,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Cheshire West and Chester,0.548,Cheshire West and Chester,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Chesterfield,0.553,Chesterfield,Urban with City and Town,TRUE
Chichester,0.594,Chichester,Largely Rural (rural including hub towns 50-79%) ,TRUE
Chiltern,0.614,Chiltern,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Chorley,0.53,Chorley,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Christchurch,0.564,Christchurch,Urban with City and Town,TRUE
City of London,0.305,City of London,Urban with Major Conurbation,TRUE
Colchester,0.5,Colchester,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Copeland,0.51,Copeland,Mainly Rural (rural including hub towns >=80%) ,TRUE
Corby,0.47,Corby,Urban with City and Town,TRUE
Cornwall,0.528,Cornwall,Mainly Rural (rural including hub towns >=80%) ,TRUE
Cotswold,0.639,Cotswold,Mainly Rural (rural including hub towns >=80%) ,TRUE
County Durham,0.46,County Durham,Largely Rural (rural including hub towns 50-79%) ,TRUE
Coventry,0.399,Coventry,Urban with City and Town,TRUE
Craven,0.535,Craven,Mainly Rural (rural including hub towns >=80%) ,TRUE
Crawley,0.468,Crawley,Urban with City and Town,TRUE
Croydon,0.378,Croydon,Urban with Major Conurbation,TRUE
Dacorum,0.541,Dacorum,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Darlington,0.477,Darlington,Urban with City and Town,TRUE
Dartford,0.51,Dartford,Urban with Major Conurbation,TRUE
Daventry,0.598,Daventry,Mainly Rural (rural including hub towns >=80%) ,TRUE
Derby,0.48,Derby,Urban with City and Town,TRUE
Derbyshire Dales,0.586,Derbyshire Dales,Mainly Rural (rural including hub towns >=80%) ,TRUE
Doncaster,0.485,Doncaster,Urban with Minor Conurbation,TRUE
Dover,0.489,Dover,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Dudley,0.495,Dudley,Urban with Major Conurbation,TRUE
Ealing,0.345,Ealing,Urban with Major Conurbation,TRUE
East Cambridgeshire,0.561,East Cambridgeshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
East Devon,0.568,East Devon,Largely Rural (rural including hub towns 50-79%) ,TRUE
East Dorset,0.651,East Dorset,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
East Hampshire,0.629,East Hampshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
East Hertfordshire,0.557,East Hertfordshire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
East Lindsey,0.54,East Lindsey,Mainly Rural (rural including hub towns >=80%) ,TRUE
East Northamptonshire,0.567,East Northamptonshire,Largely Rural (rural including hub towns 50-79%) ,TRUE
East Riding of Yorkshire,0.54,East Riding of Yorkshire,Largely Rural (rural including hub towns 50-79%) ,TRUE
East Staffordshire,0.524,East Staffordshire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Eastbourne,0.456,Eastbourne,Urban with City and Town,TRUE
Eastleigh,0.567,Eastleigh,Urban with City and Town,TRUE
Eden,0.575,Eden,Mainly Rural (rural including hub towns >=80%) ,TRUE
Elmbridge,0.598,Elmbridge,Urban with Major Conurbation,TRUE
Enfield,0.365,Enfield,Urban with Major Conurbation,TRUE
England,0.489,,,FALSE
Epping Forest,0.547,Epping Forest,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Epsom and Ewell,0.515,Epsom and Ewell,Urban with Major Conurbation,TRUE
Erewash,0.519,Erewash,Urban with Minor Conurbation,TRUE
Exeter,0.57,Exeter,Urban with City and Town,TRUE
Fareham,0.571,Fareham,Urban with City and Town,TRUE
Fenland,0.545,Fenland,Largely Rural (rural including hub towns 50-79%) ,TRUE
Forest Heath,0.587,Forest Heath,Mainly Rural (rural including hub towns >=80%) ,TRUE
Forest of Dean,0.594,Forest of Dean,Mainly Rural (rural including hub towns >=80%) ,TRUE
Fylde,0.551,Fylde,Urban with City and Town,TRUE
Gateshead,0.389,Gateshead,Urban with Major Conurbation,TRUE
Gedling,0.492,Gedling,Urban with Minor Conurbation,TRUE
Gloucester,0.664,Gloucester,Urban with City and Town,TRUE
Gosport,0.46,Gosport,Urban with City and Town,TRUE
Gravesham,0.486,Gravesham,Urban with Major Conurbation,TRUE
Great Yarmouth,0.479,Great Yarmouth,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Greenwich,0.284,Greenwich,Urban with Major Conurbation,TRUE
Guildford,0.552,Guildford,Urban with City and Town,TRUE
Hackney,0.153,Hackney,Urban with Major Conurbation,TRUE
Halton,0.48,Halton,Urban with City and Town,TRUE
Hambleton,0.578,Hambleton,Mainly Rural (rural including hub towns >=80%) ,TRUE
Hammersmith and Fulham,0.235,Hammersmith and Fulham,Urban with Major Conurbation,TRUE
Harborough,0.582,Harborough,Mainly Rural (rural including hub towns >=80%) ,TRUE
Haringey,0.235,Haringey,Urban with Major Conurbation,TRUE
Harlow,0.486,Harlow,Urban with City and Town,TRUE
Harrogate,0.561,Harrogate,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Harrow,0.409,Harrow,Urban with Major Conurbation,TRUE
Hart,0.629,Hart,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Hartlepool,0.424,Hartlepool,Urban with City and Town,TRUE
Hastings,0.419,Hastings,Urban with City and Town,TRUE
Havant,0.52,Havant,Urban with City and Town,TRUE
Havering,0.454,Havering,Urban with Major Conurbation,TRUE
"Herefordshire, County of",0.56,"Herefordshire, County of",Largely Rural (rural including hub towns 50-79%) ,TRUE
Hertsmere,0.539,Hertsmere,Urban with Major Conurbation,TRUE
High Peak,0.513,High Peak,Largely Rural (rural including hub towns 50-79%) ,TRUE
Hillingdon,0.473,Hillingdon,Urban with Major Conurbation,TRUE
Hinckley and Bosworth,0.567,Hinckley and Bosworth,Largely Rural (rural including hub towns 50-79%) ,TRUE
Horsham,0.61,Horsham,Largely Rural (rural including hub towns 50-79%) ,TRUE
Hounslow,0.364,Hounslow,Urban with Major Conurbation,TRUE
Huntingdonshire,0.597,Huntingdonshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
Hyndburn,0.449,Hyndburn,Urban with City and Town,TRUE
Ipswich,0.459,Ipswich,Urban with City and Town,TRUE
Isle of Wight,0.509,Isle of Wight,Mainly Rural (rural including hub towns >=80%) ,TRUE
Isles of Scilly,0.238,Isles of Scilly,Mainly Rural (rural including hub towns >=80%) ,TRUE
Islington,0.153,Islington,Urban with Major Conurbation,TRUE
Kensington and Chelsea,0.265,Kensington and Chelsea,Urban with Major Conurbation,TRUE
Kettering,0.579,Kettering,Urban with City and Town,TRUE
King's Lynn and West Norfolk,0.556,King's Lynn and West Norfolk,Largely Rural (rural including hub towns 50-79%) ,TRUE
"Kingston upon Hull, City of",0.365,"Kingston upon Hull, City of",Urban with City and Town,TRUE
Kingston upon Thames,0.39,Kingston upon Thames,Urban with Major Conurbation,TRUE
Kirklees,0.441,Kirklees,Urban with Major Conurbation,TRUE
Knowsley,0.387,Knowsley,Urban with Major Conurbation,TRUE
Lambeth,0.199,Lambeth,Urban with Major Conurbation,TRUE
Lancaster,0.45,Lancaster,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Leeds,0.515,Leeds,Urban with Major Conurbation,TRUE
Leicester,0.417,Leicester,Urban with City and Town,TRUE
Lewes,0.491,Lewes,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Lewisham,0.258,Lewisham,Urban with Major Conurbation,TRUE
Lichfield,0.575,Lichfield,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Lincoln,0.413,Lincoln,Urban with City and Town,TRUE
Liverpool,0.317,Liverpool,Urban with Major Conurbation,TRUE
Luton,0.414,Luton,Urban with City and Town,TRUE
Maidstone,0.545,Maidstone,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Maldon,0.614,Maldon,Mainly Rural (rural including hub towns >=80%) ,TRUE
Malvern Hills,0.612,Malvern Hills,Largely Rural (rural including hub towns 50-79%) ,TRUE
Manchester,0.299,Manchester,Urban with Major Conurbation,TRUE
Mansfield,0.484,Mansfield,Urban with City and Town,TRUE
Medway,0.485,Medway,Urban with City and Town,TRUE
Melton,0.572,Melton,Mainly Rural (rural including hub towns >=80%) ,TRUE
Mendip,0.569,Mendip,Mainly Rural (rural including hub towns >=80%) ,TRUE
Merton,0.354,Merton,Urban with Major Conurbation,TRUE
Mid Devon,0.564,Mid Devon,Mainly Rural (rural including hub towns >=80%) ,TRUE
Mid Suffolk,0.612,Mid Suffolk,Mainly Rural (rural including hub towns >=80%) ,TRUE
Mid Sussex,0.567,Mid Sussex,Urban with City and Town,TRUE
Middlesbrough,0.39,Middlesbrough,Urban with City and Town,TRUE
Milton Keynes,1.53,Milton Keynes,Urban with City and Town,TRUE
Mole Valley,0.63,Mole Valley,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
New Forest,0.609,New Forest,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Newark and Sherwood,0.53,Newark and Sherwood,Largely Rural (rural including hub towns 50-79%) ,TRUE
Newcastle upon Tyne,0.335,Newcastle upon Tyne,Urban with Major Conurbation,TRUE
Newcastle-under-Lyme,0.489,Newcastle-under-Lyme,Urban with City and Town,TRUE
Newham,0.207,Newham,Urban with Major Conurbation,TRUE
North Devon,0.516,North Devon,Largely Rural (rural including hub towns 50-79%) ,TRUE
North Dorset,0.606,North Dorset,Mainly Rural (rural including hub towns >=80%) ,TRUE
North East Derbyshire,0.546,North East Derbyshire,Urban with City and Town,TRUE
North East Lincolnshire,0.439,North East Lincolnshire,Urban with City and Town,TRUE
North Hertfordshire,0.544,North Hertfordshire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
North Kesteven,0.57,North Kesteven,Mainly Rural (rural including hub towns >=80%) ,TRUE
North Lincolnshire,0.513,North Lincolnshire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
North Norfolk,0.558,North Norfolk,Mainly Rural (rural including hub towns >=80%) ,TRUE
North Somerset,0.57,North Somerset,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
North Tyneside,0.434,North Tyneside,Urban with Major Conurbation,TRUE
North Warwickshire,0.588,North Warwickshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
North West Leicestershire,0.559,North West Leicestershire,Largely Rural (rural including hub towns 50-79%) ,TRUE
Northampton,0.503,Northampton,Urban with City and Town,TRUE
Northumberland,0.503,Northumberland,Largely Rural (rural including hub towns 50-79%) ,TRUE
Norwich,0.381,Norwich,Urban with City and Town,TRUE
Nottingham,0.306,Nottingham,Urban with Minor Conurbation,TRUE
Nuneaton and Bedworth,0.518,Nuneaton and Bedworth,Urban with City and Town,TRUE
Oadby and Wigston,0.544,Oadby and Wigston,Urban with City and Town,TRUE
Oldham,0.401,Oldham,Urban with Major Conurbation,TRUE
Oxford,0.349,Oxford,Urban with City and Town,TRUE
Pendle,0.451,Pendle,Urban with City and Town,TRUE
Peterborough,1.06,Peterborough,Urban with City and Town,TRUE
Plymouth,0.436,Plymouth,Urban with City and Town,TRUE
Poole,0.546,Poole,Urban with City and Town,TRUE
Portsmouth,0.514,Portsmouth,Urban with City and Town,TRUE
Preston,0.428,Preston,Urban with City and Town,TRUE
Purbeck,0.574,Purbeck,Mainly Rural (rural including hub towns >=80%) ,TRUE
Reading,0.419,Reading,Urban with City and Town,TRUE
Redbridge,0.355,Redbridge,Urban with Major Conurbation,TRUE
Redcar and Cleveland,0.471,Redcar and Cleveland,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Redditch,0.531,Redditch,Urban with City and Town,TRUE
Reigate and Banstead,0.567,Reigate and Banstead,Urban with City and Town,TRUE
Ribble Valley,0.572,Ribble Valley,Mainly Rural (rural including hub towns >=80%) ,TRUE
Richmond upon Thames,0.394,Richmond upon Thames,Urban with Major Conurbation,TRUE
Richmondshire,0.539,Richmondshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
Rochdale,0.418,Rochdale,Urban with Major Conurbation,TRUE
Rochford,0.55,Rochford,Urban with City and Town,TRUE
Rossendale,0.488,Rossendale,Urban with City and Town,TRUE
Rother,0.557,Rother,Largely Rural (rural including hub towns 50-79%) ,TRUE
Rotherham,0.47,Rotherham,Urban with Minor Conurbation,TRUE
Rugby,0.547,Rugby,Urban with City and Town,TRUE
Runnymede,0.544,Runnymede,Urban with Major Conurbation,TRUE
Rushcliffe,0.52,Rushcliffe,Largely Rural (rural including hub towns 50-79%) ,TRUE
Rushmoor,0.982,Rushmoor,Urban with City and Town,TRUE
Rutland,0.574,Rutland,Mainly Rural (rural including hub towns >=80%) ,TRUE
Ryedale,0.568,Ryedale,Mainly Rural (rural including hub towns >=80%) ,TRUE
Salford,0.374,Salford,Urban with Major Conurbation,TRUE
Sandwell,0.398,Sandwell,Urban with Major Conurbation,TRUE
Scarborough,0.459,Scarborough,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Sedgemoor,0.557,Sedgemoor,Largely Rural (rural including hub towns 50-79%) ,TRUE
Sefton,0.444,Sefton,Urban with Major Conurbation,TRUE
Selby,0.552,Selby,Mainly Rural (rural including hub towns >=80%) ,TRUE
Sevenoaks,0.581,Sevenoaks,Largely Rural (rural including hub towns 50-79%) ,TRUE
Sheffield,0.39,Sheffield,Urban with Minor Conurbation,TRUE
Shepway,0.492,Shepway,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Shropshire,0.55,Shropshire,Largely Rural (rural including hub towns 50-79%) ,TRUE
Slough,1.08,Slough,Urban with City and Town,TRUE
Solihull,0.678,Solihull,Urban with Major Conurbation,TRUE
South Bucks,0.626,South Bucks,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
South Cambridgeshire,0.582,South Cambridgeshire,Largely Rural (rural including hub towns 50-79%) ,TRUE
South Derbyshire,0.545,South Derbyshire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
South Gloucestershire,0.788,South Gloucestershire,Urban with City and Town,TRUE
South Hams,0.594,South Hams,Mainly Rural (rural including hub towns >=80%) ,TRUE
South Holland,0.568,South Holland,Largely Rural (rural including hub towns 50-79%) ,TRUE
South Kesteven,0.549,South Kesteven,Largely Rural (rural including hub towns 50-79%) ,TRUE
South Lakeland,0.555,South Lakeland,Mainly Rural (rural including hub towns >=80%) ,TRUE
South Norfolk,0.599,South Norfolk,Mainly Rural (rural including hub towns >=80%) ,TRUE
South Northamptonshire,0.629,South Northamptonshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
South Oxfordshire,0.601,South Oxfordshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
South Ribble,0.537,South Ribble,Urban with City and Town,TRUE
South Somerset,0.594,South Somerset,Largely Rural (rural including hub towns 50-79%) ,TRUE
South Staffordshire,0.566,South Staffordshire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
South Tyneside,0.397,South Tyneside,Urban with Major Conurbation,TRUE
Southampton,0.399,Southampton,Urban with City and Town,TRUE
Southend-on-Sea,0.452,Southend-on-Sea,Urban with City and Town,TRUE
Southwark,0.184,Southwark,Urban with Major Conurbation,TRUE
Spelthorne,0.558,Spelthorne,Urban with Major Conurbation,TRUE
St Albans,0.536,St Albans,Urban with City and Town,TRUE
St Edmundsbury,0.537,St Edmundsbury,Largely Rural (rural including hub towns 50-79%) ,TRUE
St. Helens,0.475,St. Helens,Urban with Major Conurbation,TRUE
Stafford,0.54,Stafford,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Staffordshire Moorlands,0.559,Staffordshire Moorlands,Largely Rural (rural including hub towns 50-79%) ,TRUE
Stevenage,0.482,Stevenage,Urban with City and Town,TRUE
Stockport,0.503,Stockport,Urban with Major Conurbation,TRUE
Stockton-on-Tees,0.47,Stockton-on-Tees,Urban with City and Town,TRUE
Stoke-on-Trent,0.439,Stoke-on-Trent,Urban with City and Town,TRUE
Stratford-on-Avon,0.667,Stratford-on-Avon,Mainly Rural (rural including hub towns >=80%) ,TRUE
Stroud,0.604,Stroud,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Suffolk Coastal,0.592,Suffolk Coastal,Largely Rural (rural including hub towns 50-79%) ,TRUE
Sunderland,0.406,Sunderland,Urban with Major Conurbation,TRUE
Surrey Heath,0.627,Surrey Heath,Urban with City and Town,TRUE
Sutton,0.433,Sutton,Urban with Major Conurbation,TRUE
Swale,0.509,Swale,Largely Rural (rural including hub towns 50-79%) ,TRUE
Swindon,1.22,Swindon,Urban with City and Town,TRUE
Tameside,0.439,Tameside,Urban with Major Conurbation,TRUE
Tamworth,0.512,Tamworth,Urban with City and Town,TRUE
Tandridge,0.592,Tandridge,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Taunton Deane,0.537,Taunton Deane,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Teignbridge,0.567,Teignbridge,Largely Rural (rural including hub towns 50-79%) ,TRUE
Telford and Wrekin,0.495,Telford and Wrekin,Urban with City and Town,TRUE
Tendring,0.526,Tendring,Largely Rural (rural including hub towns 50-79%) ,TRUE
Test Valley,0.603,Test Valley,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Tewkesbury,0.577,Tewkesbury,Largely Rural (rural including hub towns 50-79%) ,TRUE
Thanet,0.456,Thanet,Urban with City and Town,TRUE
Three Rivers,0.552,Three Rivers,Urban with Major Conurbation,TRUE
Thurrock,0.491,Thurrock,Urban with Major Conurbation,TRUE
Tonbridge and Malling,0.563,Tonbridge and Malling,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Torbay,0.494,Torbay,Urban with City and Town,TRUE
Torridge,0.553,Torridge,Mainly Rural (rural including hub towns >=80%) ,TRUE
Tower Hamlets,0.141,Tower Hamlets,Urban with Major Conurbation,TRUE
Trafford,0.48,Trafford,Urban with Major Conurbation,TRUE
Tunbridge Wells,0.524,Tunbridge Wells,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Uttlesford,0.618,Uttlesford,Mainly Rural (rural including hub towns >=80%) ,TRUE
Vale of White Horse,0.554,Vale of White Horse,Largely Rural (rural including hub towns 50-79%) ,TRUE
Wakefield,0.47,Wakefield,Urban with City and Town,TRUE
Walsall,0.438,Walsall,Urban with Major Conurbation,TRUE
Waltham Forest,0.29,Waltham Forest,Urban with Major Conurbation,TRUE
Wandsworth,0.247,Wandsworth,Urban with Major Conurbation,TRUE
Warrington,0.527,Warrington,Urban with City and Town,TRUE
Warwick,0.543,Warwick,Urban with City and Town,TRUE
Watford,0.682,Watford,Urban with Major Conurbation,TRUE
Waveney,0.508,Waveney,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Waverley,0.604,Waverley,Largely Rural (rural including hub towns 50-79%) ,TRUE
Wealden,0.605,Wealden,Mainly Rural (rural including hub towns >=80%) ,TRUE
Wellingborough,0.532,Wellingborough,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Welwyn Hatfield,0.487,Welwyn Hatfield,Urban with City and Town,TRUE
West Berkshire,0.642,West Berkshire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
West Devon,0.588,West Devon,Mainly Rural (rural including hub towns >=80%) ,TRUE
West Dorset,0.582,West Dorset,Mainly Rural (rural including hub towns >=80%) ,TRUE
West Lancashire,0.518,West Lancashire,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
West Lindsey,0.554,West Lindsey,Mainly Rural (rural including hub towns >=80%) ,TRUE
West Oxfordshire,0.588,West Oxfordshire,Mainly Rural (rural including hub towns >=80%) ,TRUE
West Somerset,0.578,West Somerset,Mainly Rural (rural including hub towns >=80%) ,TRUE
Westminster,0.199,Westminster,Urban with Major Conurbation,TRUE
Weymouth and Portland,0.485,Weymouth and Portland,Urban with City and Town,TRUE
Wigan,0.468,Wigan,Urban with Major Conurbation,TRUE
Wiltshire,0.58,Wiltshire,Largely Rural (rural including hub towns 50-79%) ,TRUE
Winchester,0.551,Winchester,Largely Rural (rural including hub towns 50-79%) ,TRUE
Windsor and Maidenhead,0.574,Windsor and Maidenhead,Urban with City and Town,TRUE
Wirral,0.468,Wirral,Urban with Major Conurbation,TRUE
Woking,0.559,Woking,Urban with Major Conurbation,TRUE
Wokingham,0.587,Wokingham,Urban with City and Town,TRUE
Wolverhampton,0.422,Wolverhampton,Urban with Major Conurbation,TRUE
Worcester,0.576,Worcester,Urban with City and Town,TRUE
Worthing,0.491,Worthing,Urban with City and Town,TRUE
Wychavon,0.685,Wychavon,Mainly Rural (rural including hub towns >=80%) ,TRUE
Wycombe,0.59,Wycombe,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Wyre,0.514,Wyre,Largely Rural (rural including hub towns 50-79%) ,TRUE
Wyre Forest,0.567,Wyre Forest,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
York,0.427,York,Urban with City and Town,TRUE
